"Index"	"Abbreviation"	"OfficialName"	"Equation"	"ValidTarget"	"reconstruction directionality"	"subSystem"	"proteinClass"	"GeneAssociation"	"reaction with marvin charges (pH7)"	"reaction with marvin charges (pH 7.2)"	"DeltaG"	"delta G (pH 7)"	"mM delta G (pH 7)"	"min delta G (pH 7)"	"max delta G (pH 7)"	"delta G (pH 7.2)"	"uncertainty in delta G (pH 7 or pH 7.2)"	"mM delta G (pH 7.2)"	"min delta G (pH 7.2)"	"max delta G (pH 7.2)"	"directionality without uncertainty (pH 7.2)"	"directionality with uncertainty (pH 7.2)"
2020	"PPCDC"	"phosphopantothenoylcysteine decarboxylase"	"[c] : 4ppcys + h --> co2 + pan4p"	"TRUE"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"4.1.1.36"	"b3639"	"4ppcys + h --> co2 + pan4p"	"4ppcys + h --> co2 + pan4p"	-3.1	-3.1	-7.2	-25.3	-2.5	-3.3	1.6	-7.4	-25.6	-2.7	"forward only"	"forward only"
2021	"PPCK"	"phosphoenolpyruvate carboxykinase"	"[c] : atp + oaa --> adp + co2 + pep"	"TRUE"	"forward only"	"Anaplerotic Reactions"	"4.1.1.49"	"b3403"	"atp + h + oaa --> adp + co2 + pep"	"atp + h + oaa --> adp + co2 + pep"	0.5	0.5	-3.6	-26.3	5.6	0.2	2.4	-3.9	-26.5	5.4	"reversible"	"reversible"
2022	"PPCSCT"	"Propanoyl-CoA: succinate CoA-transferase"	"[c] : ppcoa + succ --> ppa + succoa"	"TRUE"	"forward only"	"Alternate Carbon Metabolism"		"b2920"	"ppcoa + succ --> ppa + succoa"	"ppcoa + succ --> ppa + succoa"	0	0	0	-9	9	0	1.5	0	-9	9	"reversible"	"reversible"
2023	"PPGPPDP"	"guanosine-3',5'-bis(diphosphate) 3'-diphosphatase"	"[c] : h2o + ppgpp --> gdp + ppi"	"TRUE"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"3.1.7.2"	"b3650"	"h + h2o + ppgpp --> gdp + ppi"	"h + h2o + ppgpp --> gdp + ppi"	-4.2	-4.2	-8.3	-15.6	-2	-4.4	2.2	-8.5	-15.8	-2.3	"forward only"	"forward only"
2024	"PPK2r"	"polyphosphate kinase"	"[c] : atp + ppi <==> adp + pppi"	"TRUE"	"reversible"	"Oxidative Phosphorylation"	"2.7.4.1"	"b2501"	"atp + ppi <==> adp + pppi"	"atp + ppi <==> adp + pppi"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"
2025	"PPKr"	"polyphosphate kinase"	"[c] : atp + pi <==> adp + ppi"	"TRUE"	"reversible"	"Oxidative Phosphorylation"	"2.7.4.1"	"b2501"	"atp + h + pi <==> adp + ppi"	"atp + h + pi <==> adp + ppi"	-1.3	-1.3	-1.3	-10.3	7.7	-1.5	2.2	-1.5	-10.5	7.6	"reversible"	"reversible"
2026	"PPM"	"phosphopentomutase"	"[c] : r1p <==> r5p"	"TRUE"	"reversible"	"Alternate Carbon Metabolism"	"5.4.2.7"	"( b4383  or  b3380 )"	"r1p <==> r5p"	"r1p <==> r5p"	0	0	0	-4.5	4.5	0	1.5	0	-4.5	4.5	"reversible"	"reversible"
2027	"PPM2"	"phosphopentomutase 2 (deoxyribose)"	"[c] : 2dr1p <==> 2dr5p"	"TRUE"	"reversible"	"Alternate Carbon Metabolism"	"5.4.2.7"	"b4383"	"2dr1p <==> 2dr5p"	"2dr1p <==> 2dr5p"	0	0	0	-4.5	4.5	0	1.5	0	-4.5	4.5	"reversible"	"reversible"
2028	"PPNCL2"	"phosphopantothenate-cysteine ligase"	"[c] : 4ppan + ctp + cys-L --> 4ppcys + cmp + h + ppi"	"TRUE"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"6.3.2.5"	"b3639"	"4ppan + ctp + cys-L + h --> 4ppcys + cmp + ppi"	"4ppan + ctp + cys-L + h --> 4ppcys + cmp + ppi"	-7.7	-7.7	-7.7	-21.2	5.9	-7.9	2.6	-7.9	-21.4	5.6	"reversible"	"reversible"
2029	"PPND"	"prephenate dehydrogenase"	"[c] : nad + pphn --> 34hpp + co2 + nadh"	"TRUE"	"forward only"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"1.3.1.12"	"b2600"	"nad + pphn --> 34hpp + co2 + nadh"	"nad + pphn --> 34hpp + co2 + nadh"	-14.2	-14.2	-18.3	-41	-9.1	-14.2	5.7	-18.3	-41	-9.1	"forward only"	"forward only"
2030	"PPNDH"	"prephenate dehydratase"	"[c] : h + pphn --> co2 + h2o + phpyr"	"TRUE"	"forward only"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"4.2.1.51"	"b2599"	"h + pphn --> co2 + h2o + phpyr"	"h + pphn --> co2 + h2o + phpyr"	-27.1	-27.1	-31.2	-49.4	-26.5	-27.4	4.5	-31.5	-49.7	-26.8	"forward only"	"forward only"
2031	"PPPGO"	"protoporphyrinogen oxidase (aerobic)"	"[c] : (1.5) o2 + pppg9 --> (3) h2o + ppp9"	"TRUE"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"1.3.3.4"	"b3850"	"(1.5) o2 + pppg9 --> (3) h2o + ppp9"	"(1.5) o2 + pppg9 --> (3) h2o + ppp9"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"
2032	"PPPGO3"	"protoporphyrinogen oxidase (anaerobic)"	"[c] : (3) fum + pppg9 --> ppp9 + (3) succ"	"TRUE"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"1.3.3.4"	"b3850"	"(3) fum + pppg9 --> ppp9 + (3) succ"	"(3) fum + pppg9 --> ppp9 + (3) succ"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"
2033	"PPPNDO"	"Phenylpropanoate Dioxygenase"	"[c] : h + nadh + o2 + pppn --> cechddd + nad"	"TRUE"	"forward only"	"Alternate Carbon Metabolism"		"( b2538  and  b2539  and  b2540  and  b2542 )"	"h + nadh + o2 + pppn --> cechddd + nad"	"h + nadh + o2 + pppn --> cechddd + nad"	-73.6	-73.6	-67.9	-76.8	-53.6	-73.8	5.4	-68.1	-77.1	-53.9	"forward only"	"forward only"
2034	"PPPNt2rpp"	"3-phenylpropionate transport via proton symport, reversible (periplasm)"	"h[p] + pppn[p] <==> h[c] + pppn[c]"	"FALSE"	"reversible"	"Transport, Inner Membrane"		"b2536"	"h[p] + pppn[p] <==> h + pppn"	"h[p] + pppn[p] <==> h + pppn"	0	0	0.3	-5.2	4.8	0	1.5	0.3	-5.2	4.8	"reversible"	"reversible"
2035	"PPPNtex"	"3-phenylpropionate transport via diffusion (extracellular to periplasm)"	"pppn[e] <==> pppn[p]"	"FALSE"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"pppn[e] <==> pppn[p]"	"pppn[e] <==> pppn[p]"	0	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"
2036	"PPS"	"phosphoenolpyruvate synthase"	"[c] : atp + h2o + pyr --> amp + (2) h + pep + pi"	"TRUE"	"forward only"	"Glycolysis/Gluconeogenesis"	"2.7.9.2"	"b1702"	"atp + h2o + pyr --> amp + h + pep + pi"	"atp + h2o + pyr --> amp + h + pep + pi"	-1.3	-1.3	-5.4	-17.2	5.3	-1.2	2.9	-5.3	-17	5.5	"reversible"	"reversible"
2037	"PPTHpp"	"Phosphonate hydrogenase (periplasm)"	"[p] : h2o + ppt --> h2 + pi"	"TRUE"	"forward only"	"Unassigned"		"b0383"	"[p] : h2o[p] + ppt[p] --> h[p] + h2[p] + pi[p]"	"[p] : h2o[p] + ppt[p] --> h[p] + h2[p] + pi[p]"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"
2038	"PPTtex"	"Phosphonate transport via diffusion (extracellular to periplasm)"	"ppt[e] <==> ppt[p]"	"FALSE"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"ppt[e] <==> ppt[p]"	"ppt[e] <==> ppt[p]"	0	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"
2039	"PRAGSr"	"phosphoribosylglycinamide synthase"	"[c] : atp + gly + pram <==> adp + gar + h + pi"	"TRUE"	"reversible"	"Purine and Pyrimidine Biosynthesis"	"6.3.4.13"	"b4005"	"atp + gly + pram <==> adp + gar + h + pi"	"atp + gly + pram <==> adp + gar + h + pi"	-6.3	-6.3	-6.3	-19.9	7.2	-6.2	2.5	-6.2	-19.7	7.3	"reversible"	"reversible"
2040	"PRAIi"	"phosphoribosylanthranilate isomerase (irreversible)"	"[c] : pran --> 2cpr5p"	"TRUE"	"forward only"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"5.3.1.24"	"b1262"	"pran --> 2cpr5p"	"pran --> 2cpr5p"	0.5	0.5	0.5	-4	5	0.5	3.7	0.5	-4	5	"reversible"	"reversible"
2041	"PRAIS"	"phosphoribosylaminoimidazole synthase"	"[c] : atp + fpram --> adp + air + (2) h + pi"	"TRUE"	"forward only"	"Purine and Pyrimidine Biosynthesis"	"6.3.3.1"	"b2499"	"atp + fpram --> adp + air + h + pi"	"atp + fpram --> adp + air + pi"	19.3	19.3	15.3	3.4	26	19.4	6.7	15.4	3.6	26.1	"reverse only"	"reversible"
2042	"PRAMPC"	"phosphoribosyl-AMP cyclohydrolase"	"[c] : h2o + prbamp --> prfp"	"TRUE"	"forward only"	"Histidine Metabolism"	"3.5.4.19"	"b2026"	"h2o + prbamp --> h + prfp"	"h2o + prbamp --> h + prfp"	-4.2	-4.2	-4.2	-8.7	0.3	-4	11	-4	-8.5	0.6	"reversible"	"reversible"
2043	"PRASCS"	"phosphoribosylaminoimidazolesuccinocarboxamide synthase"	"[c] : 5aizc + asp-L + atp --> 25aics + adp + h + pi"	"TRUE"	"forward only"	"Purine and Pyrimidine Biosynthesis"	"6.3.2.6"	"b2476"	"5aizc + asp-L + atp --> 25aics + adp + (2) h + pi"	"5aizc + asp-L + atp --> 25aics + adp + h + pi"	-19.9	-19.9	-19.9	-33.4	-6.4	-19.6	4.6	-19.6	-33.2	-6.1	"forward only"	"forward only"
2044	"PRATPP"	"phosphoribosyl-ATP pyrophosphatase"	"[c] : h2o + prbatp --> h + ppi + prbamp"	"TRUE"	"forward only"	"Histidine Metabolism"	"3.6.1.31"	"b2026"	"h2o + prbatp --> ppi + prbamp"	"h2o + prbatp --> ppi + prbamp"	-8	-8	-12.1	-19.3	-5.8	-8	2.2	-12.1	-19.3	-5.8	"forward only"	"forward only"
2045	"PRFGS"	"phosphoribosylformylglycinamidine synthase"	"[c] : atp + fgam + gln-L + h2o --> adp + fpram + glu-L + h + pi"	"TRUE"	"forward only"	"Purine and Pyrimidine Biosynthesis"	"6.3.5.3"	"b2557"	"atp + fgam + gln-L + h2o --> adp + fpram + glu-L + (2) h + pi"	"atp + fgam + gln-L + h2o --> adp + fpram + glu-L + (2) h + pi"	-21.7	-21.7	-25.8	-42	-10.5	-21.3	5.6	-25.4	-41.7	-10.1	"forward only"	"forward only"
2046	"PRMICI"	"1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase"	"[c] : prfp <==> prlp"	"TRUE"	"reversible"	"Histidine Metabolism"	"5.3.1.16"	"b2024"	"prfp <==> prlp"	"prfp <==> prlp"	0.5	0.5	0.5	-4	5	0.5	3.7	0.5	-4	5	"reversible"	"reversible"
2047	"PROabcpp"	"L-proline transport via ABC system (periplasm)"	"atp[c] + h2o[c] + pro-L[p] --> adp[c] + h[c] + pi[c] + pro-L[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"( b2677  and  b2678  and  b2679 )"	"atp + h2o + pro-L[p] --> adp + h + pi + pro-L"	"atp + h2o + pro-L[p] --> adp + h + pi + pro-L"	-6.7	-6.7	-10.8	-20	3.5	-6.6	2.2	-10.7	-23.4	0.1	"reversible"	"reversible"
2048	"PROD2"	"Proline dehydrogenase"	"[c] : fad + pro-L --> 1pyr5c + fadh2 + h"	"TRUE"	"forward only"	"Arginine and Proline Metabolism"	"1.5.99.8"	"b1014"	"fad + pro-L --> 1pyr5c + fadh2"	"fad + pro-L --> 1pyr5c + fadh2 + h"	-5.6	-5.6	-5.6	-14.6	3.4	-5.6	3.3	-5.6	-14.6	3.4	"reversible"	"reversible"
2049	"PROGLYabcpp"	"L-Prolinylglycine (Pro-Gly) transport via ABC system (periplasm)"	"atp[c] + h2o[c] + progly[p] --> adp[c] + h[c] + pi[c] + progly[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"( b3544  and  b3543  and  b3542  and  b3541  and  b3540 )"	"atp + h2o + progly[p] --> adp + h + pi + progly"	"atp + h2o + progly[p] --> adp + h + pi + progly"	-6.7	-6.7	-10.8	-20	3.5	-6.6	2.2	-10.7	-23.4	0.1	"reversible"	"reversible"
2050	"PROGLYtex"	"L-Prolinylglycine transport via diffusion (extracellular to periplasm)"	"progly[e] <==> progly[p]"	"FALSE"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"progly[e] <==> progly[p]"	"progly[e] <==> progly[p]"	0	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"
2051	"PROt2rpp"	"L-proline reversible transport via proton symport (periplasm)"	"h[p] + pro-L[p] <==> h[c] + pro-L[c]"	"FALSE"	"reversible"	"Transport, Inner Membrane"		"b4111"	"h[p] + pro-L[p] <==> h + pro-L"	"h[p] + pro-L[p] <==> h + pro-L"	0	0	-3.2	-5.2	4.8	0	1.5	-3.2	-8.6	1.3	"reversible"	"reversible"
2052	"PROt4pp"	"Na+/Proline-L symporter (periplasm)"	"na1[p] + pro-L[p] --> na1[c] + pro-L[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b1015"	"na1[p] + pro-L[p] --> na1 + pro-L"	"na1[p] + pro-L[p] --> na1 + pro-L"	0	0	-3.5	-10.9	9	0	1.5	-3.5	-14.4	5.5	"reversible"	"reversible"
2053	"PROtex"	"L-proline transport via diffusion (extracellular to periplasm)"	"pro-L[e] <==> pro-L[p]"	"FALSE"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"pro-L[e] <==> pro-L[p]"	"pro-L[e] <==> pro-L[p]"	0	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"
2054	"PROTRS"	"Prolyl-tRNA synthetase"	"[c] : atp + pro-L + trnapro --> amp + ppi + protrna"	"TRUE"	"forward only"	"tRNA Charging"	"6.1.1.15"	"b0194"	"atp + h + pro-L + trnapro --> amp + ppi + protrna"	"atp + h + pro-L + trnapro --> amp + ppi + protrna"	-5.9	-5.9	-5.9	-19.4	7.7	-6	2.1	-6	-19.5	7.5	"reversible"	"reversible"
2055	"PRPPS"	"phosphoribosylpyrophosphate synthetase"	"[c] : atp + r5p <==> amp + h + prpp"	"TRUE"	"reversible"	"Histidine Metabolism"	"2.7.6.1"	"b1207"	"atp + r5p <==> amp + prpp"	"atp + r5p <==> amp + prpp"	-3.8	-3.8	-3.8	-12.8	5.3	-3.8	0.7	-3.8	-12.8	5.2	"reversible"	"reversible"
2056	"PSCLYSt2pp"	"psicoselysine transport via proton symport (periplasm)"	"h[p] + psclys[p] --> h[c] + psclys[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b3370"	"h[p] + psclys[p] --> h + psclys"	"h[p] + psclys[p] --> h + psclys"	0	0	-6.6	-12.1	-2.1	0	1.5	-6.6	-12.1	-2.1	"forward only"	"forward only"
2057	"PSCLYStex"	"psicoselysine transporter via diffusion (extracellular)"	"psclys[e] <==> psclys[p]"	"FALSE"	"reversible"	"Transport, Outer Membrane Porin"		"( b0929  or  b2215  or  b1377  or  b0241 )"	"psclys[e] <==> psclys[p]"	"psclys[e] <==> psclys[p]"	0	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"
2058	"PSCVT"	"3-phosphoshikimate 1-carboxyvinyltransferase"	"[c] : pep + skm5p <==> 3psme + pi"	"TRUE"	"reversible"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"2.5.1.19"	"b0908"	"pep + skm5p <==> 3psme + h + pi"	"pep + skm5p <==> 3psme + h + pi"	0.4	0.4	0.4	-8.6	9.4	0.5	2	0.5	-8.5	9.5	"reversible"	"reversible"
2059	"PSD120"	"Phosphatidylserine decarboxylase (n-C12:0)"	"[c] : h + ps120 --> co2 + pe120"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"4.1.1.65"	"b4160"	"(2) h + ps120 --> co2 + pe120"	"(2) h + ps120 --> co2 + pe120"	7.8	7.8	3.7	-14.5	8.4	7.2	2.4	3.1	-15	7.8	"reversible"	"reversible"
2060	"PSD140"	"Phosphatidylserine decarboxylase (n-C14:0)"	"[c] : h + ps140 --> co2 + pe140"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"4.1.1.65"	"b4160"	"(2) h + ps140 --> co2 + pe140"	"(2) h + ps140 --> co2 + pe140"	7.8	7.8	3.7	-14.5	8.4	7.2	2.4	3.1	-15	7.8	"reversible"	"reversible"
2061	"PSD141"	"Phosphatidylserine decarboxylase (n-C14:1)"	"[c] : h + ps141 --> co2 + pe141"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"4.1.1.65"	"b4160"	"(2) h + ps141 --> co2 + pe141"	"(2) h + ps141 --> co2 + pe141"	7.8	7.8	3.7	-14.5	8.4	7.2	2.4	3.1	-15	7.8	"reversible"	"reversible"
2062	"PSD160"	"Phosphatidylserine decarboxylase (n-C16:0)"	"[c] : h + ps160 --> co2 + pe160"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"4.1.1.65"	"b4160"	"(2) h + ps160 --> co2 + pe160"	"(2) h + ps160 --> co2 + pe160"	7.8	7.8	3.7	-14.5	8.4	7.2	2.4	3.1	-15	7.8	"reversible"	"reversible"
2063	"PSD161"	"Phosphatidylserine decarboxylase (n-C16:1)"	"[c] : h + ps161 --> co2 + pe161"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"4.1.1.65"	"b4160"	"(2) h + ps161 --> co2 + pe161"	"(2) h + ps161 --> co2 + pe161"	7.8	7.8	3.7	-14.5	8.4	7.2	2.4	3.1	-15	7.8	"reversible"	"reversible"
2064	"PSD180"	"Phosphatidylserine decarboxylase (n-C18:0)"	"[c] : h + ps180 --> co2 + pe180"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"4.1.1.65"	"b4160"	"(2) h + ps180 --> co2 + pe180"	"(2) h + ps180 --> co2 + pe180"	7.8	7.8	3.7	-14.5	8.4	7.2	2.4	3.1	-15	7.8	"reversible"	"reversible"
2065	"PSD181"	"Phosphatidylserine decarboxylase (n-C18:1)"	"[c] : h + ps181 --> co2 + pe181"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"4.1.1.65"	"b4160"	"(2) h + ps181 --> co2 + pe181"	"(2) h + ps181 --> co2 + pe181"	7.8	7.8	3.7	-14.5	8.4	7.2	2.4	3.1	-15	7.8	"reversible"	"reversible"
2066	"PSERT"	"phosphoserine transaminase"	"[c] : 3php + glu-L --> akg + pser-L"	"TRUE"	"forward only"	"Glycine and Serine Metabolism"	"2.6.1.52"	"b0907"	"3php + glu-L --> akg + pser-L"	"3php + glu-L --> akg + pser-L"	0	0	0	-9	9	0	1.5	0	-9	9	"reversible"	"reversible"
2067	"PSERtex"	"phospho-L-serine transport via diffusion (extracellular to periplasm)"	"pser-L[e] <==> pser-L[p]"	"FALSE"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"pser-L[e] <==> pser-L[p]"	"pser-L[e] <==> pser-L[p]"	0	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"
2068	"PSP_L"	"phosphoserine phosphatase (L-serine)"	"[c] : h2o + pser-L --> pi + ser-L"	"TRUE"	"forward only"	"Glycine and Serine Metabolism"	"3.1.3.3"	"b4388"	"h2o + pser-L --> h + pi + ser-L"	"h2o + pser-L --> h + pi + ser-L"	-2.9	-2.9	-7	-14.3	-0.7	-2.8	2.2	-6.9	-14.1	-0.6	"forward only"	"reversible"
2069	"PSP_Lpp"	"phospho-L-serine phosphatase (periplasmic)"	"[p] : h2o + pser-L --> pi + ser-L"	"TRUE"	"forward only"	"Glycine and Serine Metabolism"		"b4055"	"[p] : h2o[p] + pser-L[p] --> h[p] + pi[p] + ser-L[p]"	"[p] : h2o[p] + pser-L[p] --> h[p] + pi[p] + ser-L[p]"	-2.9	-2.9	-7	-15.2	1.2	-2.8	2.2	-6.9	-15.1	1.3	"reversible"	"reversible"
2070	"PSSA120"	"Phosphatidylserine syntase (n-C12:0)"	"[c] : cdpdddecg + ser-L --> cmp + h + ps120"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.7.8.8"	"b2585"	"cdpdddecg + ser-L --> cmp + h + ps120"	"cdpdddecg + ser-L --> cmp + h + ps120"	-14.6	-14.6	-14.6	-23.6	-5.6	-14.3	2	-14.3	-23.3	-5.3	"forward only"	"forward only"
2071	"PSSA140"	"Phosphatidylserine syntase (n-C14:0)"	"[c] : cdpdtdecg + ser-L --> cmp + h + ps140"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.7.8.8"	"b2585"	"cdpdtdecg + ser-L --> cmp + h + ps140"	"cdpdtdecg + ser-L --> cmp + h + ps140"	-14.6	-14.6	-14.6	-23.6	-5.6	-14.3	2	-14.3	-23.3	-5.3	"forward only"	"forward only"
2072	"PSSA141"	"Phosphatidylserine syntase (n-C14:1)"	"[c] : cdpdtdec7eg + ser-L --> cmp + h + ps141"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.7.8.8"	"b2585"	"cdpdtdec7eg + ser-L --> cmp + h + ps141"	"cdpdtdec7eg + ser-L --> cmp + h + ps141"	-14.6	-14.6	-14.6	-23.6	-5.6	-14.3	2	-14.3	-23.3	-5.3	"forward only"	"forward only"
2073	"PSSA160"	"Phosphatidylserine syntase (n-C16:0)"	"[c] : cdpdhdecg + ser-L --> cmp + h + ps160"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.7.8.8"	"b2585"	"cdpdhdecg + ser-L --> cmp + h + ps160"	"cdpdhdecg + ser-L --> cmp + h + ps160"	-14.6	-14.6	-14.6	-23.6	-5.6	-14.3	2	-14.3	-23.3	-5.3	"forward only"	"forward only"
2074	"PSSA161"	"Phosphatidylserine syntase (n-C16:1)"	"[c] : cdpdhdec9eg + ser-L --> cmp + h + ps161"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.7.8.8"	"b2585"	"cdpdhdec9eg + ser-L --> cmp + h + ps161"	"cdpdhdec9eg + ser-L --> cmp + h + ps161"	-14.6	-14.6	-14.6	-23.6	-5.6	-14.3	2	-14.3	-23.3	-5.3	"forward only"	"forward only"
2075	"PSSA180"	"Phosphatidylserine syntase (n-C18:0)"	"[c] : cdpdodecg + ser-L --> cmp + h + ps180"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.7.8.8"	"b2585"	"cdpdodecg + ser-L --> cmp + h + ps180"	"cdpdodecg + ser-L --> cmp + h + ps180"	-14.6	-14.6	-14.6	-23.6	-5.6	-14.3	2	-14.3	-23.3	-5.3	"forward only"	"forward only"
2076	"PSSA181"	"Phosphatidylserine syntase (n-C18:1)"	"[c] : cdpdodec11eg + ser-L --> cmp + h + ps181"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.7.8.8"	"b2585"	"cdpdodec11eg + ser-L --> cmp + h + ps181"	"cdpdodec11eg + ser-L --> cmp + h + ps181"	-14.6	-14.6	-14.6	-23.6	-5.6	-14.3	2	-14.3	-23.3	-5.3	"forward only"	"forward only"
2077	"PTA2"	"Phosphate acetyltransferase"	"[c] : pi + ppcoa --> coa + ppap"	"TRUE"	"forward only"	"Alternate Carbon Metabolism"		"b2297"	"h + pi + ppcoa --> coa + ppap"	"pi + ppcoa --> coa + ppap"	3.8	3.8	3.8	-5.2	12.9	3.8	3.5	3.8	-5.2	12.8	"reversible"	"reversible"
2078	"PTAr"	"phosphotransacetylase"	"[c] : accoa + pi <==> actp + coa"	"TRUE"	"reversible"	"Pyruvate Metabolism"	"2.3.1.8"	"( b2458  or  b2297 )"	"accoa + h + pi <==> actp + coa"	"accoa + pi <==> actp + coa"	3.8	3.8	3.8	-5.2	12.9	3.8	3.5	3.8	-5.2	12.8	"reversible"	"reversible"
2079	"PTHRpp"	"phospho-L-threonine phosphatase (periplasmic)"	"[p] : h2o + thrp --> pi + thr-L"	"TRUE"	"forward only"	"Threonine and Lysine Metabolism"		"b4055"	"[p] : h2o[p] + thrp[p] --> h[p] + pi[p] + thr-L[p]"	"[p] : h2o[p] + thrp[p] --> h[p] + pi[p] + thr-L[p]"	-2.9	-2.9	-7	-15.2	1.2	-2.8	2.2	-6.9	-15.1	1.3	"reversible"	"reversible"
2080	"PTPATi"	"pantetheine-phosphate adenylyltransferase"	"[c] : atp + h + pan4p --> dpcoa + ppi"	"TRUE"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"2.7.7.3"	"b3634"	"atp + pan4p --> dpcoa + ppi"	"atp + pan4p --> dpcoa + ppi"	0.4	0.4	0.4	-8.6	9.5	0.4	2.2	0.4	-8.6	9.4	"reversible"	"reversible"
2081	"PTRCabcpp"	"putrescine transport via ABC system (periplasm)"	"atp[c] + h2o[c] + ptrc[p] --> adp[c] + h[c] + pi[c] + ptrc[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"( ( b0854  and  b0855  and  b0856  and  b0857 )  or  ( b1126  and  b1125  and  b1124  and  b1123 )  or  ( b1440  and  b1441  and  b1442  and  b1443 ) )"	"atp + h2o + ptrc[p] --> adp + h + pi + ptrc"	"atp + h2o + ptrc[p] --> adp + h + pi + ptrc"	-6.7	-6.7	-17.7	-30.4	-6.9	-6.6	2.2	-17.6	-30.3	-6.8	"forward only"	"forward only"
2082	"PTRCORNt7pp"	"putrescine/ornithine antiporter (periplasm)"	"orn[c] + ptrc[p] <==> orn[p] + ptrc[c]"	"FALSE"	"reversible"	"Transport, Inner Membrane"		"b0692"	"orn + ptrc[p] <==> orn[p] + ptrc"	"orn + ptrc[p] <==> orn[p] + ptrc"	0	0	-3.5	-13.4	6.5	0	1.5	-3.5	-13.4	6.5	"reversible"	"reversible"
2083	"PTRCt2pp"	"putrescine transport in via proton symport"	"h[p] + ptrc[p] --> h[c] + ptrc[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"( b1296  or  b0692 )"	"h[p] + ptrc[p] --> h + ptrc"	"h[p] + ptrc[p] --> h + ptrc"	0	0	-10.1	-15.6	-5.6	0	1.5	-10.1	-15.6	-5.6	"forward only"	"forward only"
